Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,131.044876,136.176193,129.434845,131.513321,131.513321,12203075602
2020-04-04,131.627975,134.546402,129.682480,134.400253,134.400253,11056608323
2020-04-05,134.438782,135.241653,131.515182,132.834915,132.834915,10439183287
2020-04-06,132.891876,156.718033,132.833023,156.591415,156.591415,20031655306
2020-04-07,156.602127,160.940765,150.636841,151.532211,151.532211,19879164436
2020-04-08,151.659225,159.563385,150.991592,158.952805,158.952805,15710159715
2020-04-09,159.062851,159.086884,154.663223,156.338760,156.338760,13639433131
2020-04-10,156.358994,156.492203,141.512512,144.847427,144.847427,16441218347
2020-04-11,144.963135,147.380173,142.013031,144.681122,144.681122,12395492210
2020-04-12,144.696091,150.247238,142.947754,147.416473,147.416473,13835497922
2020-04-13,147.030640,147.057205,138.954987,143.091583,143.091583,15075826369
2020-04-14,143.161545,146.761215,142.708679,143.468826,143.468826,13403313977
2020-04-15,143.440826,146.592819,140.158401,140.570206,140.570206,12996065047
2020-04-16,140.490906,159.533081,138.125580,158.546280,158.546280,21099121717
2020-04-17,140.490906,159.533081,138.125580,158.546280,158.546280,21099121717
2020-04-18,157.831482,172.818787,157.831482,171.874908,171.874908,18538223819
2020-04-19,171.827072,172.964478,165.628296,167.146240,167.146240,17620730942
2020-04-20,167.022247,171.236496,156.887527,158.584030,158.584030,19574066168
2020-04-21,158.326828,161.528549,157.450638,159.109909,159.109909,15160286402
2020-04-22,159.047913,169.855392,158.278931,168.964127,168.964127,16650932676
2020-04-23,168.983200,174.896042,166.568039,171.720306,171.720306,19745461155
2020-04-24,171.899811,176.145279,171.899811,174.862320,174.862320,15513279600
2020-04-25,174.835022,181.843826,174.143951,180.663757,180.663757,16873848225
2020-04-26,180.569778,184.229034,179.999207,182.353561,182.353561,16944867784
2020-04-27,182.499756,184.358246,178.669235,182.205276,182.205276,17248384596
2020-04-28,182.250351,183.551941,179.971497,183.163391,183.163391,16817145886
2020-04-29,183.209366,201.177490,182.753220,199.482315,199.482315,24270117510
2020-04-30,199.427994,209.461563,188.560516,189.696579,189.696579,25666527191
2020-05-01,189.970413,198.228226,189.860001,193.103317,193.103317,18764435273
2020-05-02,193.113220,194.553741,191.877762,194.083099,194.083099,16459404144
2020-05-03,194.107162,197.639359,188.104446,192.483673,192.483673,18678690078
2020-05-04,192.445084,193.373688,182.032135,190.913467,190.913467,20728387179
